10/05/2018 22:08:22	deposit	500.0	balance	500.0
10/05/2018 22:43:31	deposit	500.0	balance	1000.0
10/05/2018 22:43:34	deposit	500.0	balance	1500.0
10/05/2018 22:43:43	deposit	500.0	balance	2000.0
10/05/2018 22:43:44	deposit	500.0	balance	2500.0
10/05/2018 22:43:46	deposit	500.0	balance	3000.0
10/05/2018 23:01:34	deposit	1.0	balance	3001.0
10/05/2018 23:02:30	deposit	1.0	balance	3002.0
13/05/2018 23:29:42	deposit	22.0	balance	3024.0
13/05/2018 23:29:51	withdraw	-22.0	balance	3002.0
13/05/2018 23:29:54	withdraw	2.0	balance	3000.0
13/05/2018 23:30:16	deposit	14.0	balance	3014.0
